Record,exclude,Countytype,Age,Gender,BUS,BUS_history,EI,NascEntr,BUS_current,BRT,HPSs,RES_HPSs,ZRE_HPSs,ZHPSs,ZBRT
146,0,1,59,0,1,0,19,1,2,3,3.615384615,0.096839734,0.155001469,0.096067689,0.65401944
147,0,1,44,0,1,0,13,0,1,3.125,4.153846154,0.507289009,0.811965693,0.942065666,0.793588471
148,0,1,59,0,1,0,8,0,1,1,3,-0.518544882,-0.829981819,-0.870787141,-1.579085055
149,0,3,58,1,1,0,7,0,1,3.125,3.307692308,-0.21730219,-0.347813417,-0.387359726,0.793588471
150,0,1,33,1,1,1,23,1,2,3.25,4.076923077,0.338574807,0.541922106,0.821208812,0.933157502
151,0, ,35,1,1,0,20,1,2,3.75,4.076923077,0.355643109,0.569241593,0.821208812,1.491433626
152,0,1,76,1,1,1,13,1,2,2.75,4.769230769,1.397850987,2.237397273,1.908920496,0.374881378
153,0,1,43,0,0,-1,17,0,-1,2.25,3.923076923,0.267985628,0.428937217,0.579495104,-0.183394746
154,0,1,45,0,0,-1,13,0,-1,3,3.666666667,0.028643673,0.045847001,0.176638925,0.65401944
155,0,1,51,1,0,-1,10,0,-1,1,4.153846154,0.5691126,0.910920399,0.942065666,-1.579085055
156,0,1,60,1,0,-1,8,0,-1,2,3.384615385,-0.123310812,-0.197371019,-0.266502872,-0.462532808
157,0,1,51,0,0,-1,9,0,-1,3.625,2.461538462,-1.125279627,-1.801120143,-1.716785118,1.351864595
158,0,1,62,0,1,0, ,0,0,2.875,3.769230769,0.27628834,0.442226521,0.337781397,0.514450409
159,0,1,70,0,0,-1,8,0,-1,1,3.076923077,-0.347746145,-0.55660173,-0.749930288,-1.579085055
161,0,1,47,0,0,-1,9,0,-1,2.5,4.538461538,0.917506846,1.468559478,1.546349935,0.095743316
162,0,2,63,1,1,0,9,0,1,2.5,2.846153846,-0.636169897,-1.018252165,-1.112500849,0.095743316
163,0,2,49,1,0,-1,5,0,-1,3.5,2.461538462,-1.140263394,-1.825103128,-1.716785118,1.212295564
164,0,1,52,0,0,-1,13,0,-1,2.5,4.076923077,0.498639139,0.79812073,0.821208812,0.095743316
165,0,3,62,0,1,1,19,0,0,3.625,3.538461538,0.045519109,0.072857788,-0.024789165,1.351864595
166,0,3,61,1,1,0,6,0,0,1,2.692307692,-0.807084353,-1.291817474,-1.354214557,-1.579085055
167,0,1,51,0,1,1,19,1,2,3.5,3.384615385,-0.202202704,-0.323645212,-0.266502872,1.212295564
168,0,3,58,1,1,0,10,0,1,2,3.769230769,0.244236271,0.390924049,0.337781397,-0.462532808
169,0,3,44,0,1,0,10,0,0,2,3.692307692,0.045750548,0.073228228,0.216924543,-0.462532808
170,0,2,60,1,0,-1,7,0,-1,1.375,3.846153846,0.33822765,0.541366447,0.45863825,-1.160377963
171,0,1,65,0,1,1,12,0,0,2.5,3.461538462,-0.005801515,-0.009285892,-0.145646019,0.095743316
173,0,1,88,1,0,-1,8,0,-1,1,2.923076923,-0.345893049,-0.553635667,-0.991643995,-1.579085055
174,0,3,80,1,1,0,11,0, ,1.375,3.153846154,-0.183397025,-0.293544882,-0.629073434,-1.160377963
175,0,3,57,0,0,-1,17,0,-1,3.125,3.384615385,-0.150997799,-0.241686751,-0.266502872,0.793588471
176,0,1,62,0,1,0,20,1,2,2.75,4,0.507057571,0.811595254,0.700351958,0.374881378
177,0,3,46,0,1,0,12,0,1,3.375,3.923076923,0.29358808,0.469916447,0.579495104,1.072726533
178,0,3,64,1,1,1,18,0,0,2.75,4.846153846,1.372364253,2.196603262,2.02977735,0.374881378
179,0,1,80,1,0,-1,8,0,-1,1.625,3.384615385,0.047372206,0.07582385,-0.266502872,-0.881239901
181,0,1,59,0,1,1,10,0,0,2.125,3.461538462,-0.05700642,-0.091244353,-0.145646019,-0.322963777
182,0,1,50,1,1,1,9,0,0,2.625,3.076923077,-0.516344628,-0.826460097,-0.749930288,0.235312347
183,0,1,78,0,0,-1,10,0,-1,1.75,3.615384615,0.2589886,0.414536595,0.096067689,-0.74167087
184,0,3,57,1,0,-1,5,0,-1,1.25,2.615384615,-0.918144033,-1.469579358,-1.47507141,-1.299946994
185,0,2,62,1,0,-1,11,0,-1,1.25,3.692307692,0.201449798,0.322440112,0.216924543,-1.299946994
186,0,3,59,1,1,1,17,1,2,3.375,3.461538462,-0.054921886,-0.087907851,-0.145646019,1.072726533
187,0,3,68,0,1,1,9,0,1,1,3.333333333,-0.108404191,-0.173511513,-0.347074108,-1.579085055
